############# 1s 1D Orbital Uncentered        Range=64 #############
Space range [a.u.]      qubit count   max χ
──────────────────────────────────────────────────
           64.0                2         1
           64.0                3         1
           64.0                4         1
           64.0                5         1
           64.0                6         1
           64.0                7         1
           64.0                8         1
           64.0                9         1
           64.0               10         1
           64.0               11         1
           64.0               12         1
           64.0               13         1
           64.0               14         1
           64.0               15         1


############# 2s 1D STO Uncentered        Range=64 #############
Space range [a.u.]      qubit count   max χ
──────────────────────────────────────────────────
           64.0                2         1
           64.0                3         2
           64.0                4         2
           64.0                5         2
           64.0                6         2
           64.0                7         2
           64.0                8         2
           64.0                9         2
           64.0               10         2
           64.0               11         2
           64.0               12         2
           64.0               13         2
           64.0               14         2
           64.0               15         2


############# 2s 1D H2 Uncentered        Range=64 #############
Space range [a.u.]      qubit count   max χ
──────────────────────────────────────────────────
           64.0                2         2
           64.0                3         2
           64.0                4         2
           64.0                5         2
           64.0                6         2
           64.0                7         2
           64.0                8         2
           64.0                9         2
           64.0               10         2
           64.0               11         2
           64.0               12         2
           64.0               13         2
           64.0               14         2
           64.0               15         2


############# 1s 1D Orbital        Range=64 #############
Space range [a.u.]      qubit count   max χ
──────────────────────────────────────────────────
           64.0                2         2
           64.0                3         2
           64.0                4         2
           64.0                5         2
           64.0                6         2
           64.0                7         2
           64.0                8         2
           64.0                9         2
           64.0               10         2
           64.0               11         2
           64.0               12         2
           64.0               13         2
           64.0               14         2
           64.0               15         2


############# 2s 1D STO        Range=64 #############
Space range [a.u.]      qubit count   max χ
──────────────────────────────────────────────────
           64.0                2         2
           64.0                3         2
           64.0                4         4
           64.0                5         4
           64.0                6         4
           64.0                7         4
           64.0                8         4
           64.0                9         4
           64.0               10         4
           64.0               11         4
           64.0               12         4
           64.0               13         4
           64.0               14         4
           64.0               15         4


############# 2s 1D H2        Range=64 #############
Space range [a.u.]      qubit count   max χ
──────────────────────────────────────────────────
           64.0                2         2
           64.0                3         2
           64.0                4         4
           64.0                5         4
           64.0                6         4
           64.0                7         4
           64.0                8         4
           64.0                9         4
           64.0               10         4
           64.0               11         4
           64.0               12         4
           64.0               13         4
           64.0               14         4
           64.0               15         4


############# 2s 1D H2 with Jacobian        Range=64 #############
Space range [a.u.]      qubit count   max χ
──────────────────────────────────────────────────
           64.0                2         2
           64.0                3         2
           64.0                4         3
           64.0                5         3
           64.0                6         3
           64.0                7         3
           64.0                8         3
           64.0                9         3
           64.0               10         3
           64.0               11         3
           64.0               12         3
           64.0               13         3
           64.0               14         3
           64.0               15         3


############# 1s 1D Orbital times Coulomb potential        Range=64 #############
Space range [a.u.]      qubit count   max χ
──────────────────────────────────────────────────
           64.0                2         2
           64.0                3         2
           64.0                4         4
           64.0                5         4
           64.0                6         6
           64.0                7         8
           64.0                8         8
           64.0                9         9
           64.0               10        10
           64.0               11        11
           64.0               12        11
           64.0               13        11
           64.0               14        11
           64.0               15        11
